[0.0024399, -0.496773, 0.00235055, -2.00503, 0.00827367, 2.00452, -0.503432] [-0.289092, -0.316981, -0.128145, 0.637917, -0.20428, -0.281515, 0.0203271] 0.077859
[0.00244161, -0.496768, 0.00235101, -2.00504, 0.00827451, 2.00453, -0.50344] [-0.22358, -0.154048, -0.0780922, 0.504793, -0.1539, -0.176846, -0.0314413] 0.077859
[0.002448, -0.496786, 0.00234932, -2.00546, 0.00827583, 2.00456, -0.503435] [-0.185827, -0.203436, -0.0880961, 0.485719, -0.157023, -0.156252, -0.0277676] 0.077859
[0.00244548, -0.497193, 0.002341, -2.00676, 0.00827716, 2.00457, -0.503436] [-0.199019, -0.379945, -0.103428, 0.424466, -0.167393, -0.149269, -0.0186432] 0.077859
[0.00230456, -0.50554, 0.00235183, -2.01833, 0.00828047, 2.00454, -0.500466] [-0.359523, -0.727094, -0.0942306, 0.363413, -0.165399, -0.165777, 0.0914982] 0.077859
[0.00178295, -0.516291, 0.0023698, -2.03, 0.00830177, 2.00454, -0.491122] [-0.625994, -0.597892, -0.0925889, 0.155551, -0.155115, -0.236087, 0.183298] 0.077859
[-0.000910038, -0.541284, 0.00294502, -2.05448, 0.0084362, 2.00464, -0.475717] [-0.707286, -0.479851, -0.0330273, 0.194485, -0.142547, -0.229594, 0.181292] 0.077859
[-0.00222788, -0.551604, 0.00411384, -2.06472, 0.00849425, 2.00579, -0.469887] [-0.629118, -0.59087, 0.182396, 0.212465, -0.135844, -0.121037, 0.175213] 0.077859
[-0.00482578, -0.578475, 0.0102187, -2.09656, 0.00852284, 2.01252, -0.457094] [-0.584613, -0.417674, 0.256407, 0.146487, -0.14554, 0.0343427, 0.16988] 0.077859
[-0.00531952, -0.58794, 0.0132411, -2.10993, 0.0085211, 2.01721, -0.452617] [-0.599063, -0.22378, 0.253048, 0.0160197, -0.218046, 0.170839, 0.175408] 0.077859
[-0.00568682, -0.598469, 0.0172161, -2.12738, 0.00849634, 2.02384, -0.449345] [-0.647894, -0.633058, 0.171665, 0.232292, -0.313806, 0.209303, 0.181831] 0.077859
[-0.00692271, -0.621755, 0.0269749, -2.17804, 0.00498952, 2.04537, -0.44042] [-0.644176, -0.335039, 0.248693, 0.0917694, -0.446194, 0.182495, 0.200409] 0.077859
[-0.00791483, -0.630406, 0.0311196, -2.20156, 0.000978495, 2.05527, -0.436479] [-0.671497, -0.514706, 0.238162, 0.257264, -0.539845, 0.173408, 0.196912] 0.077859
[-0.0109989, -0.649314, 0.040654, -2.26436, -0.0114997, 2.08549, -0.429127] [-0.61243, -0.428127, 0.339263, 0.137571, -0.521195, 0.123543, 0.1791] 0.077859
[-0.0123144, -0.65552, 0.0441453, -2.28951, -0.0148676, 2.09825, -0.426313] [-0.721777, -0.297342, 0.163036, -0.00663218, -0.514063, 0.0801646, 0.1738] 0.077859
[-0.0154655, -0.664427, 0.0501148, -2.33171, -0.0225515, 2.12052, -0.419545] [-0.66156, -0.546599, 0.237561, 0.328572, -0.507692, 0.127672, 0.178696] 0.077859
[-0.025104, -0.674474, 0.0616689, -2.40601, -0.038631, 2.16109, -0.405532] [-0.560479, -0.448349, 0.326737, 0.0917103, -0.511225, 0.0841594, 0.183923] 0.0778597
[-0.0303923, -0.677042, 0.0667953, -2.43692, -0.0452605, 2.17721, -0.39677] [-0.479747, -0.622437, 0.281524, 0.346036, -0.513929, 0.116545, 0.18441] 0.0778597
[-0.0429836, -0.67975, 0.0780372, -2.50661, -0.064662, 2.21237, -0.377395] [-0.473019, -0.513297, 0.211685, 0.173346, -0.491143, 0.10072, 0.164714] 0.077859
[-0.047529, -0.679757, 0.0817224, -2.53048, -0.0703165, 2.22418, -0.369614] [-0.412322, -0.366555, 0.314307, 0.107491, -0.503265, 0.107626, 0.16612] 0.077859
[-0.0528173, -0.679334, 0.0860054, -2.55798, -0.0750841, 2.23848, -0.361172] [-0.490811, -0.3972, 0.218606, 0.424068, -0.512506, 0.162716, 0.176885] 0.077859
[-0.0638353, -0.670275, 0.0939097, -2.6165, -0.0839531, 2.27321, -0.341521] [-0.484571, 0.262726, 0.288981, 0.0847684, -0.551079, 0.125676, 0.16475] 0.077859
[-0.0691172, -0.660356, 0.0970141, -2.64407, -0.0892031, 2.29226, -0.330573] [-0.535006, 0.0594973, 0.214936, 0.309121, -0.541868, 0.172997, 0.164809] 0.077859
